time,open,high,low,close,vwap,volume,count
2024-01-01 00:00:00+00:00,44036.36580850881,44168.47490593433,43904.25671108328,44036.36580850881,44036.36580850881,100.0,1000
2024-01-02 00:00:00+00:00,44036.36580850881,44681.33703769083,43904.25671108328,44547.693955823364,44547.693955823364,100.0,1000
2024-01-03 00:00:00+00:00,44547.693955823364,45133.97540015063,44414.05087395589,44998.978464756365,44998.978464756365,100.0,1000
2024-01-04 00:00:00+00:00,44998.978464756365,45576.634729512254,44863.98152936209,45440.31378814782,45440.31378814782,100.0,1000
2024-01-05 00:00:00+00:00,45440.31378814782,45843.13069860153,45303.992846783374,45706.01266061968,45706.01266061968,100.0,1000
2024-01-06 00:00:00+00:00,45706.01266061968,45996.24797055831,45568.89462263782,45858.67195469423,45858.67195469423,100.0,1000
2024-01-07 00:00:00+00:00,45858.67195469423,46205.34184366968,45721.09593883015,46067.14042240248,46067.14042240248,100.0,1000
2024-01-08 00:00:00+00:00,46067.14042240248,46205.34184366968,45813.06346330374,45950.91621193956,45950.91621193956,100.0,1000
2024-01-09 00:00:00+00:00,45950.91621193956,46088.76896057538,45512.44869346812,45649.396884120484,45649.396884120484,100.0,1000
2024-01-10 00:00:00+00:00,45649.396884120484,45786.34507477284,45235.74057052376,45371.85613894058,45371.85613894058,100.0,1000
2024-01-11 00:00:00+00:00,45371.85613894058,45507.9717073574,44840.29146646754,44975.217117821005,44975.217117821005,100.0,1000
2024-01-12 00:00:00+00:00,44975.217117821005,45110.14276917446,44397.70653140788,44531.300432706,44531.300432706,100.0,1000
2024-01-13 00:00:00+00:00,44531.300432706,44664.89433400411,43920.917649737414,44053.07688037855,44053.07688037855,100.0,1000
2024-01-14 00:00:00+00:00,44053.07688037855,44185.23611101968,43364.184020561246,43494.66802463515,43494.66802463515,100.0,1000
2024-01-15 00:00:00+00:00,43494.66802463515,43625.15202870905,42853.73274782172,42982.680790192295,42982.680790192295,100.0,1000
2024-01-16 00:00:00+00:00,42982.680790192295,43111.62883256287,42476.66752045365,42604.48096334368,42604.48096334368,100.0,1000
2024-01-17 00:00:00+00:00,42604.48096334368,42732.294406233705,42132.28517999181,42259.062367093095,42259.062367093095,100.0,1000
2024-01-18 00:00:00+00:00,42259.062367093095,42385.83955419437,41949.23663736087,42075.463026440186,42075.463026440186,100.0,1000
2024-01-19 00:00:00+00:00,42075.463026440186,42201.689415519504,41847.431068093625,41973.351121458,41973.351121458,100.0,1000
2024-01-20 00:00:00+00:00,41973.351121458,42145.935597259544,41847.431068093625,42019.875969351495,42019.875969351495,100.0,1000
2024-01-21 00:00:00+00:00,42019.875969351495,42446.23336097517,41893.81634144344,42319.275534372064,42319.275534372064,100.0,1000
2024-01-22 00:00:00+00:00,42319.275534372064,42700.70743218046,42192.31770776895,42572.98846678012,42572.98846678012,100.0,1000
2024-01-23 00:00:00+00:00,42572.98846678012,43133.74578506452,42445.269501379786,43004.731590293646,43004.731590293646,100.0,1000
2024-01-24 00:00:00+00:00,43004.731590293646,43588.70474818346,42875.71739552276,43458.329758906744,43458.329758906744,100.0,1000
2024-01-25 00:00:00+00:00,43458.329758906744,44110.139741569124,43327.95476963002,43978.20512619056,43978.20512619056,100.0,1000
2024-01-26 00:00:00+00:00,43978.20512619056,44637.00053624948,43846.270510811984,44503.49006605133,44503.49006605133,100.0,1000
2024-01-27 00:00:00+00:00,44503.49006605133,45161.39755805869,44369.979595853176,45026.318602251944,45026.318602251944,100.0,1000
2024-01-28 00:00:00+00:00,45026.318602251944,45599.34412201581,44891.23964644519,45462.95525624708,45462.95525624708,100.0,1000
2024-01-29 00:00:00+00:00,45462.95525624708,45891.01929995659,45326.566390478336,45753.75802587896,45753.75802587896,100.0,1000
2024-01-30 00:00:00+00:00,45753.75802587896,46047.42533536411,45616.49675180132,45909.69624662424,45909.69624662424,100.0,1000
2024-01-31 00:00:00+00:00,45909.69624662424,46250.18727524989,45771.96715788437,46111.851720089624,46111.851720089624,100.0,1000
2024-02-01 00:00:00+00:00,46111.851720089624,46250.18727524989,45827.52914601117,45965.425422278,45965.425422278,100.0,1000
2024-02-02 00:00:00+00:00,45965.425422278,46103.32169854483,45632.473455352,45769.78280376329,45769.78280376329,100.0,1000
2024-02-03 00:00:00+00:00,45769.78280376329,45907.09215217458,45256.14765668817,45392.32463057991,45392.32463057991,100.0,1000
2024-02-04 00:00:00+00:00,45392.32463057991,45528.50160447165,44855.29625422917,44990.26705539536,44990.26705539536,100.0,1000
2024-02-05 00:00:00+00:00,44990.26705539536,45125.237856561536,44408.3757806938,44542.00178605196,44542.00178605196,100.0,1000
2024-02-06 00:00:00+00:00,44542.00178605196,44675.62779141011,43798.6329673614,43930.424240081644,43930.424240081644,100.0,1000
2024-02-07 00:00:00+00:00,43930.424240081644,44062.215512801886,43321.02217167048,43451.37630057219,43451.37630057219,100.0,1000
2024-02-08 00:00:00+00:00,43451.37630057219,43581.7304294739,42886.932674469535,43015.98061631849,43015.98061631849,100.0,1000
2024-02-09 00:00:00+00:00,43015.98061631849,43145.02855816744,42554.60066741491,42682.64861325468,42682.64861325468,100.0,1000
2024-02-10 00:00:00+00:00,42682.64861325468,42810.69655909444,42158.04818709081,42284.90289577815,42284.90289577815,100.0,1000
2024-02-11 00:00:00+00:00,42284.90289577815,42411.75760446548,41900.58925342465,42026.66926120828,42026.66926120828,100.0,1000
2024-02-12 00:00:00+00:00,42026.66926120828,42152.749268991894,41825.4429907402,41951.296881384354,41951.296881384354,100.0,1000
2024-02-13 00:00:00+00:00,41951.296881384354,42233.639783748404,41825.4429907402,42107.317830257634,42107.317830257634,100.0,1000
2024-02-14 00:00:00+00:00,42107.317830257634,42362.1943073976,41980.99587676686,42235.48784386601,42235.48784386601,100.0,1000
2024-02-15 00:00:00+00:00,42235.48784386601,42699.72034456606,42108.78138033441,42572.004331571356,42572.004331571356,100.0,1000
2024-02-16 00:00:00+00:00,42572.004331571356,43207.78520566171,42444.28831857664,43078.54955699074,43078.54955699074,100.0,1000
2024-02-17 00:00:00+00:00,43078.54955699074,43615.224504387734,42949.31390831977,43484.77019380632,43484.77019380632,100.0,1000
2024-02-18 00:00:00+00:00,43484.77019380632,44117.69333402235,43354.3158832249,43985.73612564542,43985.73612564542,100.0,1000
2024-02-19 00:00:00+00:00,43985.73612564542,44619.78646337815,43853.77891726848,44486.327480935346,44486.327480935346,100.0,1000
2024-02-20 00:00:00+00:00,44486.327480935346,45188.08066871028,44352.86849849254,45052.92190300128,45052.92190300128,100.0,1000
2024-02-21 00:00:00+00:00,45052.92190300128,45603.35644218973,44917.76313729228,45466.95557546335,45466.95557546335,100.0,1000
2024-02-22 00:00:00+00:00,45466.95557546335,45842.16941540354,45330.554708736956,45705.05425264561,45705.05425264561,100.0,1000
2024-02-23 00:00:00+00:00,45705.05425264561,46012.8619992637,45567.93908988767,45875.23629039253,45875.23629039253,100.0,1000
2024-02-24 00:00:00+00:00,45875.23629039253,46133.14244374324,45737.61058152135,45995.15697282477,45995.15697282477,100.0,1000
